lp,pr,lost,per
1,1,0,0.00
2,2,0,0.00
3,3,0,0.00
4,4,0,0.00
5,5,0,0.00
6,6,0,0.00
7,7,0,0.00
8,8,0,0.00
9,9,0,0.00
10,10,0,0.00
11,11,0,0.00
12,12,0,0.00
13,13,0,0.00
14,14,0,0.00
16,15,1,0.06
17,16,1,0.05
18,17,1,0.05
19,18,1,0.05
20,19,1,0.05
21,20,1,0.04
22,21,1,0.04
23,22,1,0.04
24,23,1,0.04
25,24,1,0.04
26,25,1,0.03
28,26,2,0.07
29,27,2,0.06
30,28,2,0.06
31,29,2,0.06
32,30,2,0.06
33,31,2,0.06
34,32,2,0.05
35,33,2,0.05
36,34,2,0.05
37,35,2,0.05
38,36,2,0.05
39,37,2,0.05
40,38,2,0.05
42,39,3,0.07
43,40,3,0.06
44,41,3,0.06
45,42,3,0.06
46,43,3,0.06
47,44,3,0.06
48,45,3,0.06
49,46,3,0.06
51,47,4,0.07
70,48,22,0.31
71,49,22,0.30
72,50,22,0.30
73,51,22,0.30
74,52,22,0.29
76,53,23,0.30
77,54,23,0.29
78,55,23,0.29
79,56,23,0.29
80,57,23,0.28
81,58,23,0.28
82,59,23,0.28
83,60,23,0.27
84,61,23,0.27
90,62,28,0.31
91,63,28,0.30
92,64,28,0.30
95,65,30,0.31
98,66,32,0.32
99,67,32,0.32
100,68,32,0.32
102,69,33,0.32
103,70,33,0.32
104,71,33,0.31
105,72,33,0.31
106,73,33,0.31
108,74,34,0.31
110,75,35,0.31
111,76,35,0.31
112,77,35,0.31
114,78,36,0.31
115,79,36,0.31
116,80,36,0.31
117,81,36,0.30
118,82,36,0.30
119,83,36,0.30
120,84,36,0.30
121,85,36,0.29
122,86,36,0.29
123,87,36,0.29
127,88,39,0.30
134,89,45,0.33
136,90,46,0.33
138,91,47,0.34
139,92,47,0.33
140,93,47,0.33
142,94,48,0.33
143,95,48,0.33
144,96,48,0.33
145,97,48,0.33
146,98,48,0.32
148,99,49,0.33
149,100,49,0.32
150,101,49,0.32
151,102,49,0.32
152,103,49,0.32
153,104,49,0.32
154,105,49,0.31
155,106,49,0.31
156,107,49,0.31
158,108,50,0.31
159,109,50,0.31
160,110,50,0.31
161,111,50,0.31
167,112,55,0.32
168,113,55,0.32
171,114,57,0.33
172,115,57,0.33
176,116,60,0.34
177,117,60,0.33
179,118,61,0.34
180,119,61,0.33
184,120,64,0.34
185,121,64,0.34
186,122,64,0.34
187,123,64,0.34
189,124,65,0.34
190,125,65,0.34
191,126,65,0.34
192,127,65,0.33
193,128,65,0.33
194,129,65,0.33
196,130,66,0.33
197,131,66,0.33
204,132,72,0.35
212,133,79,0.37
224,134,90,0.40
229,135,94,0.41
261,136,125,0.47
262,137,125,0.47
263,138,125,0.47
265,139,126,0.47
266,140,126,0.47
269,141,128,0.47
270,142,128,0.47
272,143,129,0.47
274,144,130,0.47
275,145,130,0.47
276,146,130,0.47
277,147,130,0.46
278,148,130,0.46
279,149,130,0.46
280,150,130,0.46
281,151,130,0.46
282,152,130,0.46
283,153,130,0.45
284,154,130,0.45
285,155,130,0.45
286,156,130,0.45
287,157,130,0.45
288,158,130,0.45
289,159,130,0.44
290,160,130,0.44
292,161,131,0.44
293,162,131,0.44
294,163,131,0.44
295,164,131,0.44
296,165,131,0.44
297,166,131,0.44
298,167,131,0.43
299,168,131,0.43
300,169,131,0.43
301,170,131,0.43
302,171,131,0.43
304,172,132,0.43
305,173,132,0.43
308,174,134,0.43
309,175,134,0.43
310,176,134,0.43
311,177,134,0.43
312,178,134,0.42
313,179,134,0.42
314,180,134,0.42
315,181,134,0.42
316,182,134,0.42
317,183,134,0.42
318,184,134,0.42
319,185,134,0.42
320,186,134,0.41
321,187,134,0.41
322,188,134,0.41
323,189,134,0.41
324,190,134,0.41
325,191,134,0.41
326,192,134,0.41
