lp,pr,lost,per
28,1,27,0.96
33,2,31,0.93
35,3,32,0.91
37,4,33,0.89
39,5,34,0.87
42,6,36,0.85
44,7,37,0.84
45,8,37,0.82
46,9,37,0.80
47,10,37,0.78
48,11,37,0.77
49,12,37,0.75
51,13,38,0.74
52,14,38,0.73
53,15,38,0.71
54,16,38,0.70
55,17,38,0.69
56,18,38,0.67
58,19,39,0.67
59,20,39,0.66
60,21,39,0.65
61,22,39,0.63
62,23,39,0.62
63,24,39,0.61
65,25,40,0.61
66,26,40,0.60
67,27,40,0.59
68,28,40,0.58
69,29,40,0.57
70,30,40,0.57
71,31,40,0.56
72,32,40,0.55
73,33,40,0.54
74,34,40,0.54
75,35,40,0.53
76,36,40,0.52
77,37,40,0.51
79,38,41,0.51
80,39,41,0.51
81,40,41,0.50
82,41,41,0.50
83,42,41,0.49
84,43,41,0.48
86,44,42,0.48
87,45,42,0.48
88,46,42,0.47
89,47,42,0.47
90,48,42,0.46
91,49,42,0.46
92,50,42,0.45
93,51,42,0.45
94,52,42,0.44
95,53,42,0.44
96,54,42,0.43
97,55,42,0.43
98,56,42,0.42
100,57,43,0.43
101,58,43,0.42
102,59,43,0.42
103,60,43,0.41
108,61,47,0.43
110,62,48,0.43
114,63,51,0.44
121,64,57,0.47
122,65,57,0.46
123,66,57,0.46
124,67,57,0.45
125,68,57,0.45
126,69,57,0.45
127,70,57,0.44
128,71,57,0.44
129,72,57,0.44
130,73,57,0.43
131,74,57,0.43
132,75,57,0.43
133,76,57,0.42
134,77,57,0.42
135,78,57,0.42
136,79,57,0.41
137,80,57,0.41
138,81,57,0.41
139,82,57,0.41
140,83,57,0.40
141,84,57,0.40
142,85,57,0.40
143,86,57,0.39
144,87,57,0.39
145,88,57,0.39
146,89,57,0.39
147,90,57,0.38
148,91,57,0.38
149,92,57,0.38
150,93,57,0.38
151,94,57,0.37
152,95,57,0.37
153,96,57,0.37
154,97,57,0.37
155,98,57,0.36
156,99,57,0.36
158,100,58,0.36
159,101,58,0.36
160,102,58,0.36
161,103,58,0.36
162,104,58,0.35
163,105,58,0.35
164,106,58,0.35
165,107,58,0.35
166,108,58,0.34
167,109,58,0.34
168,110,58,0.34
169,111,58,0.34
170,112,58,0.34
171,113,58,0.33
172,114,58,0.33
173,115,58,0.33
174,116,58,0.33
