connecting to JLink...
connecting to nRF52840_xxAA...
connected, starting RTT...
RTT started, 2 up bufs, 2 down bufs.
up channels:
    0: name = 'Terminal', size = 512 bytes, flags = 0
    1: name = '', size = 0 bytes, flags = 0
down channels:
    0: name = 'Terminal', size = 16 bytes, flags = 0
    1: name = '', size = 0 bytes, flags = 0
<info> app: RSSI: -61, PR: 1, LP: 4,  PER: 0.75
<info> app: RSSI: -64, PR: 2, LP: 5,  PER: 0.60
<info> app: RSSI: -63, PR: 3, LP: 6,  PER: 0.50
<info> app: RSSI: -60, PR: 4, LP: 7,  PER: 0.42
<info> app: RSSI: -61, PR: 5, LP: 10,  PER: 0.50
<info> app: RSSI: -67, PR: 6, LP: 12,  PER: 0.50
<info> app: RSSI: -71, PR: 7, LP: 13,  PER: 0.46
<info> app: RSSI: -56, PR: 8, LP: 14,  PER: 0.42
<info> app: RSSI: -68, PR: 9, LP: 15,  PER: 0.40
<info> app: RSSI: -57, PR: 10, LP: 16,  PER: 0.37
<info> app: RSSI: -60, PR: 11, LP: 17,  PER: 0.35
<info> app: RSSI: -66, PR: 12, LP: 18,  PER: 0.33
<info> app: RSSI: -68, PR: 13, LP: 30,  PER: 0.56
<info> app: RSSI: -58, PR: 14, LP: 31,  PER: 0.54
<info> app: RSSI: -58, PR: 15, LP: 32,  PER: 0.53
<info> app: RSSI: -58, PR: 16, LP: 33,  PER: 0.51
<info> app: RSSI: -61, PR: 17, LP: 34,  PER: 0.50
<info> app: RSSI: -57, PR: 18, LP: 35,  PER: 0.48
<info> app: RSSI: -59, PR: 19, LP: 36,  PER: 0.47
<info> app: RSSI: -59, PR: 20, LP: 51,  PER: 0.60
<info> app: RSSI: -66, PR: 21, LP: 52,  PER: 0.59
<info> app: RSSI: -59, PR: 22, LP: 53,  PER: 0.58
<info> app: RSSI: -62, PR: 23, LP: 54,  PER: 0.57
<info> app: RSSI: -66, PR: 24, LP: 55,  PER: 0.56
<info> app: RSSI: -57, PR: 25, LP: 56,  PER: 0.55
<info> app: RSSI: -67, PR: 26, LP: 57,  PER: 0.54
<info> app: RSSI: -58, PR: 27, LP: 59,  PER: 0.54
<info> app: RSSI: -64, PR: 28, LP: 60,  PER: 0.53
<info> app: RSSI: -65, PR: 29, LP: 61,  PER: 0.52
<info> app: RSSI: -57, PR: 30, LP: 62,  PER: 0.51
<info> app: RSSI: -61, PR: 31, LP: 63,  PER: 0.50
<info> app: RSSI: -67, PR: 32, LP: 64,  PER: 0.50
<info> app: RSSI: -60, PR: 33, LP: 65,  PER: 0.49
<info> app: RSSI: -60, PR: 34, LP: 66,  PER: 0.48
<info> app: RSSI: -59, PR: 35, LP: 68,  PER: 0.48
<info> app: RSSI: -57, PR: 36, LP: 69,  PER: 0.47
<info> app: RSSI: -55, PR: 37, LP: 70,  PER: 0.47
<info> app: RSSI: -68, PR: 38, LP: 71,  PER: 0.46
<info> app: RSSI: -70, PR: 39, LP: 72,  PER: 0.45
<info> app: RSSI: -56, PR: 40, LP: 73,  PER: 0.45
<info> app: RSSI: -60, PR: 41, LP: 74,  PER: 0.44
<info> app: RSSI: -67, PR: 42, LP: 78,  PER: 0.46
<info> app: RSSI: -69, PR: 43, LP: 79,  PER: 0.45
<info> app: RSSI: -64, PR: 44, LP: 80,  PER: 0.45
<info> app: RSSI: -60, PR: 45, LP: 81,  PER: 0.44
<info> app: RSSI: -70, PR: 46, LP: 82,  PER: 0.43
<info> app: RSSI: -60, PR: 47, LP: 83,  PER: 0.43
<info> app: RSSI: -57, PR: 48, LP: 84,  PER: 0.42
<info> app: RSSI: -57, PR: 49, LP: 85,  PER: 0.42
<info> app: RSSI: -56, PR: 50, LP: 86,  PER: 0.41
<info> app: RSSI: -57, PR: 51, LP: 87,  PER: 0.41
<info> app: RSSI: -55, PR: 52, LP: 88,  PER: 0.40
<info> app: RSSI: -55, PR: 53, LP: 89,  PER: 0.40
<info> app: RSSI: -58, PR: 54, LP: 90,  PER: 0.40
<info> app: RSSI: -58, PR: 55, LP: 91,  PER: 0.39
<info> app: RSSI: -59, PR: 56, LP: 92,  PER: 0.39
<info> app: RSSI: -58, PR: 57, LP: 93,  PER: 0.38
<info> app: RSSI: -58, PR: 58, LP: 94,  PER: 0.38
<info> app: RSSI: -58, PR: 59, LP: 95,  PER: 0.37
<info> app: RSSI: -62, PR: 60, LP: 96,  PER: 0.37
<info> app: RSSI: -63, PR: 61, LP: 97,  PER: 0.37
<info> app: RSSI: -66, PR: 62, LP: 98,  PER: 0.36
<info> app: RSSI: -62, PR: 63, LP: 99,  PER: 0.36
<info> app: RSSI: -67, PR: 64, LP: 100,  PER: 0.36
<info> app: RSSI: -61, PR: 65, LP: 101,  PER: 0.35
<info> app: RSSI: -59, PR: 66, LP: 102,  PER: 0.35
<info> app: RSSI: -65, PR: 67, LP: 103,  PER: 0.34
<info> app: RSSI: -57, PR: 68, LP: 104,  PER: 0.34
<info> app: RSSI: -55, PR: 69, LP: 105,  PER: 0.34
<info> app: RSSI: -61, PR: 70, LP: 106,  PER: 0.33
<info> app: RSSI: -63, PR: 71, LP: 107,  PER: 0.33
<info> app: RSSI: -61, PR: 72, LP: 108,  PER: 0.33
